Sector,Symbol,Weight
AUTO,TATAMOTORS,17.25
AUTO,M&M,16.38
AUTO,MARUTI,14.9
AUTO,BAJAJ-AUTO,9.61
AUTO,HEROMOTOCO,6.65
AUTO,TVSMOTOR,5.61
BANKS,HDFCBANK,26.41
BANKS,ICICIBANK,24.45
BANKS,SBIN,10.33
BANKS,AXISBANK,10.05
BANKS,KOTAKBANK,9.96
FINANCE,BAJFINANCE,21.45
FINANCE,BAJAJFINSV,13.36
FINANCE,IRFC,11.2
FINANCE,JIOFIN,8.18
FINANCE,PFC,7.5
FINANCE,RECLTD,6.6
IT,INFY,28.35
IT,TCS,24.18
IT,HCLTECH,10.43
IT,TECHM,9.68
IT,WIPRO,7.83
IT,LTIM,5.81
FMCG,ITC,31.58
FMCG,HINDUNILVR,20.4
FMCG,NESTLEIND,8.23
FMCG,TATACONSUM,6.75
FMCG,VBL,5.91
FMCG,BRITANNIA,5.89
