Symbol,Shares,AvgCost,InPortfolio
5PAISA,416,525.23,SV
ABB,48,5450.4,DM
ABBOTINDIA,1,29555,DM
ABBOTINDIA,5,29860,SV
ACC,100,2379.51,DM
ALKYLAMINE,31,2337.25,DM
ALKYLAMINE,12,2375.7,SV
ASIANPAINT,88,2861,DM
ASIANTILES,444,78.31,DM
ASIANTILES,800,73.8,SV
ATULAUTO,136,516.51,DM
ATULAUTO,204,622,SV
AWL,402,327.92,DM
AWL,553,307.28,SV
BAJAJHFL,2084,116.74,DM
BANDHANBNK,733,215.93,DM
BANDHANBNK,607,198.17,SV
BATAINDIA,83,1550.24,DM
BERGEPAINT,172,534.05,DM
BERGEPAINT,233,581.46,SV
BSOFT,255,551.58,DM
CAMPUS,271,296.39,DM
CAMPUS,298,293.47,SV
CAMS,330,763.2,DM
CERA,13,8421.6,DM
CERA,10,6642.25,SV
COALINDIA,370,406.65,SV
COFFEEDAY,400,52.25,DM
COFFEEDAY,1520,60.95,SV
COLPAL,100,2633.65,DM
DABUR,280,508.94,DM
DABUR,205,514.94,SV
DEN,1600,52.79,SV
DIXON,13,15017,DM
DMART,60,4160,DM
EASEMYTRIP,3350,16.91,DM
EASEMYTRIP,6408,18.75,SV
FINCABLES,187,789.54,SV
GILLETTE,12,8445.33,DM
GILLETTE,18,8475.13,SV
GLAXO,80,2491.05,SV
GREENPANEL,105,307.59,DM
GREENPANEL,383,393.69,SV
HAPPSTMNDS,160,801.03,DM
HATHWAY,6000,18.12,SV
HAVELLS,210,1561.86,DM
HCLTECH,157,1540.92,DM
HINDUNILVR,100,2570.63,DM
HONAUT,4,40718,DM
ICICIGI,39,1904.39,DM
ICICIGI,67,1878.17,SV
ICICIPRULI,326,604.31,DM
IEX,1357,147.35,SV
INDIAMART,53,2327.09,DM
INDIGOPNTS,124,1407.73,DM
INDUSINDBK,36,1301.47,DM
INDUSINDBK,21,1445.4,SV
INFY,213,1468.96,DM
IRCTC,326,829.78,SV
ITC,589,408.01,DM
JCHAC,56,2282.24,SV
JIOFIN,860,310.89,DM
JSWINFRA,755,293.74,DM
KANSAINER,538,278.7,DM
KANSAINER,362,330.73,SV
KPIGREEN,252,497.21,DM
LAOPALA,115,359.5,DM
LAOPALA,278,322.89,SV
MASFIN,300,326.6,SV
MEDANTA,106,1197.64,DM
NESTLEIND,98,1138.01,DM
NESTLEIND,136,1131.63,SV
PAGEIND,2,41755,DM
PAGEIND,3,39300,SV
PGHH,16,13345,DM
QUESS,219,296.83,DM
RAJOOENG,1000,102.5,DM
RAJESHEXPO,195,522.65,DM
RAJESHEXPO,70,503.71,SV
RELAXO,145,725.51,DM
RELAXO,43,929.32,SV
REPCOHOME,383,459,DM
REPCOHOME,235,471.09,SV
RECLTD,550,369.4,DM
ROUTE,101,1317.49,SV
SATIN,1531,180.46,DM
SFL,258,1016.35,DM
SHALBY,391,258.81,DM
SHALBY,302,264.74,SV
SIEMENS,50,3721.9,SV
SIS,255,435.42,DM
SONACOMS,175,578.05,DM
STARHEALTH,256,470.76,DM
STARHEALTH,288,557.66,SV
SURYODAY,1020,175.56,DM
SYMPHONY,131,1306.42,DM
TANLA,206,879.63,DM
TANLA,100,895.56,SV
TATAELXSI,19,6938.68,SV
TMCV,363,237.29,DM
TMPV,463,487.9,DM
TCS,104,3636.89,DM
TITAGARH,168,1063.16,DM
TITAGARH,60,1059.44,SV
TRIDENT,2470,37.35,DM
TTKPRESTIG,131,769.29,DM
UNITDSPR,77,1376.94,DM
UNITDSPR,95,1348.62,SV
VAIBHAVGBL,364,333.63,DM
VAIBHAVGBL,200,306.66,SV
VALIANTORG,185,532.61,DM
VALIANTORG,155,419.82,SV
VBL,638,495.05,DM
VOLTAS,150,1278.28,SV
WHIRLPOOL,92,1247.8,SV
WIPRO,695,243.81,SV
ZYDUSLIFE,221,948.3,DM
