Type,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Latest,Stock,Max,Diff%
Sales,4944.0,3271.0,1521.0,1445.0,587.0,414.0,IBREALEST,4944.0,91.63
Profit,844.0,378.0,75.0,-27.0,-563.0,-1023.0,IBREALEST,2694.0,137.97
Sales,17020.0,13219.0,9998.0,8988.0,8719.0,8475.0,IBULHSGFIN,17020.0,50.21
Profit,5604.0,2561.0,1562.0,1556.0,1606.0,1646.0,IBULHSGFIN,5604.0,70.63
Sales,2987.0,2605.0,3336.0,3959.0,4189.0,4186.0,3MINDIA,4189.0,0.07
Profit,433.0,220.0,368.0,607.0,781.0,819.0,3MINDIA,819.0,0.0
Sales,1235.0,1202.0,1405.0,1349.0,1636.0,1429.0,ABSLAMC,1636.0,12.65
Profit,661.0,696.0,895.0,794.0,1008.0,1072.0,ABSLAMC,1072.0,0.0
Sales,4606.0,5393.0,5306.0,5653.0,6229.0,6304.0,APLLTD,6304.0,0.0
Profit,1000.0,1368.0,625.0,355.0,632.0,659.0,APLLTD,1368.0,51.83
Sales,11247.0,10560.0,14663.0,16612.0,19059.0,19727.0,APOLLOHOSP,19727.0,0.0
Profit,660.0,221.0,1578.0,1144.0,1380.0,1540.0,APOLLOHOSP,1578.0,2.41
Sales,3614.0,1912.0,3056.0,4069.0,4259.0,4347.0,ARVINDFASN,4644.0,6.4
Profit,-477.0,-554.0,-242.0,127.0,194.0,204.0,ARVINDFASN,204.0,0.0
Sales,6839.0,7150.0,8697.0,10392.0,11708.0,12175.0,ARE&M,12175.0,0.0
Profit,841.0,873.0,691.0,997.0,1250.0,1304.0,ARE&M,1304.0,0.0
Sales,1225.0,1292.0,1564.0,1563.0,1530.0,1539.0,ASIANTILES,1564.0,1.6
Profit,57.0,77.0,114.0,-112.0,-15.0,-15.0,ASIANTILES,114.0,113.16
Sales,23099.0,24775.0,23455.0,24855.0,29002.0,29718.0,AUROPHARMA,29718.0,0.0
Profit,3743.0,7344.0,3373.0,2612.0,4380.0,4892.0,AUROPHARMA,7344.0,33.39
Sales,4115.0,4101.0,5036.0,5087.0,5369.0,5322.0,AVANTIFEED,5369.0,0.88
Profit,485.0,510.0,324.0,427.0,537.0,559.0,AVANTIFEED,559.0,0.0
Sales,29657.0,37090.0,54155.0,58185.0,51262.0,52502.0,AWL,58185.0,9.77
Profit,609.0,755.0,1059.0,789.0,262.0,748.0,AWL,1059.0,29.37
Sales,29919.0,27741.0,33145.0,36455.0,44870.0,46491.0,BAJAJ-AUTO,46491.0,0.0
Profit,6692.0,6241.0,7652.0,7842.0,10040.0,10420.0,BAJAJ-AUTO,10420.0,0.0
Sales,6669.0,6666.0,5576.0,6338.0,6104.0,6130.0,BAJAJHIND,6806.0,9.93
Profit,-52.0,-294.0,-272.0,-138.0,-95.0,-82.0,BAJAJHIND,-52.0,-57.69
Sales,435.0,457.0,484.0,522.0,1702.0,1678.0,BAJAJHLDNG,1702.0,1.41
Profit,3314.0,3766.0,4226.0,5012.0,7493.0,7677.0,BAJAJHLDNG,7677.0,0.0
Sales,4811.0,5783.0,8295.0,9760.0,9369.0,9924.0,BALKRISIND,9924.0,0.0
Profit,1140.0,1555.0,1982.0,1435.0,1941.0,2151.0,BALKRISIND,2151.0,0.0
Sales,3056.0,1708.0,2388.0,3452.0,3479.0,3465.0,BATAINDIA,3479.0,0.4
Profit,487.0,-117.0,140.0,430.0,351.0,424.0,BATAINDIA,487.0,12.94
Sales,6300.0,7143.0,8184.0,11174.0,14756.0,14766.0,BIOCON,14766.0,0.0
Profit,1186.0,1068.0,983.0,897.0,1525.0,2487.0,BIOCON,2487.0,0.0
Sales,5360.0,4264.0,6064.0,7977.0,9685.0,10325.0,BLUESTARCO,10325.0,0.0
Profit,206.0,148.0,251.0,555.0,557.0,670.0,BLUESTARCO,670.0,0.0
Sales,630.0,577.0,828.0,1011.0,942.0,983.0,BOROLTD,1011.0,2.77
Profit,44.0,61.0,122.0,119.0,88.0,94.0,BOROLTD,122.0,22.95
Sales,9842.0,9716.0,11782.0,14929.0,16727.0,16886.0,BOSCHLTD,16886.0,0.0
Profit,985.0,565.0,1500.0,1882.0,3181.0,3259.0,BOSCHLTD,3259.0,0.0
Sales,11600.0,13136.0,14136.0,16301.0,16769.0,17009.0,BRITANNIA,17009.0,0.0
Profit,1844.0,2514.0,2078.0,3033.0,2913.0,2973.0,BRITANNIA,3033.0,1.98
Sales,3291.0,3556.0,4130.0,4795.0,5278.0,5343.0,BSOFT,5343.0,0.0
Profit,336.0,455.0,617.0,442.0,835.0,858.0,BSOFT,858.0,0.0
Sales,700.0,706.0,910.0,972.0,1137.0,1207.0,CAMS,1207.0,0.0
Profit,247.0,274.0,383.0,380.0,467.0,508.0,CAMS,508.0,0.0
Sales,215.0,344.0,551.0,555.0,812.0,920.0,CDSL,920.0,0.0
Profit,136.0,260.0,409.0,365.0,556.0,633.0,CDSL,633.0,0.0
Sales,16005.0,14543.0,13361.0,13905.0,17882.0,18622.0,CENTRALBK,18622.0,0.0
Profit,-1127.0,-1431.0,1755.0,2752.0,4181.0,3864.0,CENTRALBK,4181.0,7.58
Sales,4592.0,4576.0,4298.0,5748.0,9231.0,10021.0,CHOLAFIN,10021.0,0.0
Profit,1588.0,2048.0,2908.0,3615.0,4605.0,4937.0,CHOLAFIN,4937.0,0.0
Sales,17132.0,19160.0,21763.0,22753.0,25774.0,26139.0,CIPLA,26139.0,0.0
Profit,2178.0,3290.0,3493.0,4038.0,5702.0,5939.0,CIPLA,5939.0,0.0
Sales,419.0,512.0,685.0,936.0,791.0,827.0,CLEAN,936.0,11.65
Profit,182.0,267.0,305.0,396.0,326.0,336.0,CLEAN,396.0,15.15
Sales,2552.0,888.0,626.0,994.0,1013.0,1026.0,COFFEEDAY,3889.0,73.62
Profit,1870.0,-820.0,-128.0,-382.0,-369.0,-403.0,COFFEEDAY,1870.0,121.55
Sales,4520.0,4804.0,5394.0,6870.0,7313.0,7574.0,CROMPTON,7574.0,0.0
