Stock,Business,Management,Overall
ASIANPAINT,5,5,5
BAJAJFINSV,5,5,5
BAJFINANCE,5,5,5
DIVISLAB,5,5,5
HDFCBANK,5,5,5
HINDUNILVR,5,5,5
ICICIBANK,5,5,5
INFY,5,5,5
KOTAKBANK,5,5,5
MARUTI,5,5,5
NESTLEIND,5,5,5
RELIANCE,5,5,5
TCS,5,5,5
TITAN,5,5,5
ULTRACEMCO,5,5,5
BOSCHLTD,5,5,5
FINEORG,5,5,5
GILLETTE,5,5,5
GODREJCP,5,5,5
NAUKRI,5,5,5
PAGEIND,5,5,5
PFIZER,5,5,5
PIDILITIND,5,5,5
SIEMENS,5,5,5
SRF,5,5,5
BRITANNIA,4,5,4.5
EICHERMOT,4,5,4.5
ITC,5,4,4.5
APOLLOHOSP,5,4,4.5
BERGEPAINT,5,4,4.5
HAVELLS,5,4,4.5
MUTHOOTFIN,5,4,4.5
ACC,4,4,4
AXISBANK,4,4,4
BAJAJ-AUTO,4,4,4
BHARTIARTL,4,4,4
DABUR,4,4,4
DRREDDY,4,4,4
GRASIM,4,4,4
HCLTECH,4,4,4
HDFCLIFE,4,4,4
HEROMOTOCO,4,4,4
HINDALCO,4,4,4
LT,4,4,4
M&M,4,4,4
MARICO,4,4,4
SBIN,4,4,4
SUNPHARMA,4,4,4
TATACONSUM,4,4,4
TATAELXSI,4,4,4
TATAMOTORS,4,4,4
TATAPOWER,4,4,4
TATASTEEL,4,4,4
TECHM,4,4,4
UPL,4,4,4
WIPRO,4,4,4
AARTIIND,4,4,4
AAVAS,4,4,4
AETHER,4,4,4
AKZOINDIA,4,4,4
AMBUJACEM,4,4,4
ANGELONE,4,4,4
APLLTD,4,4,4
AUROPHARMA,4,4,4
BALKRISIND,4,4,4
BLUESTARCO,4,4,4
CERA,4,4,4
CHOLAFIN,4,4,4
GLAND,4,4,4
ICICIPRULI,4,4,4
IGL,4,4,4
MCDOWELL-N,4,4,4
MCX,4,4,4
METROPOLIS,4,4,4
NAM-INDIA,4,4,4
PVRINOX,4,4,4
SUNTV,4,4,4
TATACOMM,4,4,4
VOLTAS,4,4,4
WHIRLPOOL,4,4,4
ZEEL,4,4,4
AVANTIFEED,4,4,4
AWL,4,4,4
CLEAN,4,4,4
DREAMFOLKS,4,4,4
ERIS,4,4,4
FOSECOIND,4,4,4
HAPPSTMNDS,4,4,4
ISEC,4,4,4
JUBLFOOD,4,4,4
JYOTHYLAB,4,4,4
KANSAINER,4,4,4
LUXIND,4,4,4
MOTILALOFS,4,4,4
NEOGEN,4,4,4
OFSS,4,4,4
PRAJIND,4,4,4
RADICO,4,4,4
ROSSARI,4,4,4
ROUTE,4,4,4
STARHEALTH,4,4,4
SYMPHONY,4,4,4
TIPSINDLTD,4,4,4
TTKPRESTIG,4,4,4
VALIANTORG,4,4,4
RAJESHEXPO,4,3,3.5
APEX,4,3,3.5
GREENPANEL,4,3,3.5
BPCL,3,3,3
COALINDIA,3,3,3
GAIL,3,3,3
HINDPETRO,3,3,3
IOC,3,3,3
NTPC,3,3,3
ONGC,3,3,3
VEDL,3,3,3
BANDHANBNK,3,3,3
CANBK,3,3,3
CUB,3,3,3
FEDERALBNK,3,3,3
JINDALSTEL,3,3,3
NMDC,3,3,3
RBLBANK,3,3,3
REPCOHOME,3,3,3
5PAISA,3,3,3
ARVINDFASN,3,3,3
ASIANTILES,3,3,3
BIRLAMONEY,3,3,3
BOROLTD,3,3,3
CASTROLIND,3,3,3
CENTRALBK,3,3,3
DEN,3,3,3
EQUITASBNK,3,3,3
GEOJITFSL,3,3,3
GICRE,3,3,3
GULFOILLUB,3,3,3
HATHWAY,3,3,3
HSCL,3,3,3
JCHAC,3,3,3
JIOFIN,3,3,3
JMFINANCIL,3,3,3
JPPOWER,3,3,3
MANAPPURAM,3,3,3
MASFIN,3,3,3
NETWORK18,3,3,3
NIACL,3,3,3
PARAGMILK,3,3,3
REPCOHOME,3,3,3
SIS,3,3,3
SONACOMS,3,3,3
SPORTKING,3,3,3
SURYODAY,3,3,3
SUZLON,3,3,3
TRIDENT,3,3,3
TV18BRDCST,3,3,3
UJJIVAN,3,3,3
UJJIVANSFB,3,3,3
VAIBHAVGBL,3,3,3
WSTCSTPAPR,3,3,3
COFFEEDAY,2,2,2
YESBANK,2,2,2
