Stock,MQ,BQ,MBQ,Reasoning
3MINDIA,5,5,5,Globally diversified company with exceptional management and strong moat across industries.
5PAISA,3,3,3,Competitive discount brokerage with a growing market but limited profitability visibility.
AARTIIND,4,4,4,Leading specialty chemical manufacturer with robust exports and consistent execution.
AAVAS,4,4,4,Well-managed housing finance company with disciplined credit underwriting.
ABBOTINDIA,5,5,5,High-quality pharmaceutical company with strong ethical practices and brand presence.
ABSLAMC,4,4,4,Reputable asset manager benefiting from a growing mutual fund industry.
ACC,4,4,4,Strong player in the cement sector with operational excellence under Adani Group.
ADANIPORTS,3,4,3.5,Well-run port operator with scale advantages but concerns over capital allocation.
AETHER,3,4,3.5,Growing specialty chemical firm with a solid product pipeline and scalability potential.
AKZOINDIA,4,4,4,Reputable global paints player with a strong local market presence and brand equity.
ALKYLAMINE,4,4,4,Leading player in amines with a strong moat but faces cyclicality in demand.
AMBUJACEM,4,4,4,Among the top cement players with strong cost controls; now part of Adani Group.
ANGELONE,3,4,3.5,Leading retail stockbroker with strong digital capabilities but competitive industry dynamics.
APEX,3,3,3,Emerging pharma company with growth potential but lacks a significant competitive edge.
APL LTD,4,4,4,Trusted pharma company with a growing domestic and international market presence.
APOLLOHOSP,5,5,5,Premier hospital chain with strong management and leadership in healthcare services.
ARVINDFASN,3,3,3,Retail-focused business with a growing portfolio but faces margin and competition pressures.
ARE&M,3,3,3,Industrial engineering firm with moderate management and growth prospects.
ASIANPAINT,5,5,5,Market leader in decorative paints with exceptional brand recognition and execution.
ASIANTILES,3,3,3,Tile manufacturer with consistent performance but limited scalability compared to peers.
ASTRAZEN,4,4,4,Global pharma leader with a focus on innovation and a robust R&D pipeline.
ATULAUTO,2,3,2.5,Small-scale auto manufacturer facing scalability and competitive challenges.
AUBANK,4,4,4,Consistently growing small finance bank with strong asset quality and customer focus.
AUROPHARMA,3,4,3.5,Well-known pharmaceutical company with a diverse portfolio but faces pricing pressures.
AVANTIFEED,3,4,3.5,Leader in aquaculture feed with strong industry fundamentals but cyclical risks.
AWL,3,4,3.5,Leading edible oil manufacturer with significant market share but subject to commodity risks.
AXISBANK,4,4,4,Improved governance under new leadership; competitive private sector bank with robust growth.
BAJAJ-AUTO,5,4,4.5,Market leader in two-wheelers with strong export presence; focused capital allocation.
BAJAJFINSV,5,5,5,Exceptional management with diversified financial services portfolio; proven execution.
BAJAJHIND,2,3,2.5,Cyclical sugar business with limited pricing power and weak governance history.
BAJAJHLDNG,4,4,4,Strong holding company with stakes in high-performing Bajaj group entities.
BAJFINANCE,5,5,5,Exemplary management and business model with industry-leading ROE and growth.
BALKRISIND,4,5,4.5,Niche player in off-highway tires with strong global presence and efficient operations.
BANDHANBNK,3,4,3.5,Strong microfinance focus but governance and asset quality concerns remain.
BANKBARODA,3,3,3,Improved operations post-merger but still faces challenges in governance and NPAs.
BANKINDIA,2,3,2.5,Public sector bank with persistent challenges in credit discipline and operational efficiency.
BATAINDIA,4,4,4,Trusted footwear brand with strong market presence but faces competition from new entrants.
BAYERCROP,5,4,4.5,Global agrochemical leader with strong R&D focus; business quality impacted by cyclicality.
BERGEPAINT,4,5,4.5,Strong brand with consistent growth in decorative paints; well-managed and capital-efficient.
BHARTIARTL,4,4,4,Leading telecom operator with improved profitability and diversification into digital services.
BIOCON,4,4,4,Leadership in biosimilars and strong R&D focus; but execution risks exist in scaling globally.
BIRLAMONEY,3,3,3,Small player in financial services with limited scale and growth visibility.
BLUESTARCO,4,4,4,Market leader in air conditioning with consistent growth and strong operational performance.
BOROLTD,3,3,3,Strong legacy brand in glassware but faces stiff competition and lacks scalability.
BOSCHLTD,5,4,4.5,Pioneer in auto components with strong focus on innovation and high-quality management.
BPCL,3,3,3,Government-owned oil company facing pricing and regulatory challenges despite scale advantages.
BRITANNIA,5,5,5,Market leader in biscuits and bakery products with efficient capital allocation and branding.
BSOFT,4,4,4,IT services company with strong growth potential in digital transformation projects.
CAMPUS,3,4,3.5,Growing player in affordable footwear but lacks a strong competitive moat.
CAMS,4,4,4,Monopoly-like position in mutual fund RTA services; well-run with strong cash flow generation.
CANBK,3,3,3,PSU bank showing some improvement but still faces governance and credit quality issues.
CAPLIPOINT,4,4,4,Niche pharma player with a focus on generics and injectables; consistent operational performance.
CASTROLIND,4,4,4,Strong brand in lubricants but faces headwinds from EV adoption and slowing demand.
CDSL,4,5,4.5,Dominant player in depository services; strong business model with high operating leverage.
CENTRALBK,2,3,2.5,Struggling PSU bank with weak governance and a high proportion of stressed assets.
CERA,5,5,5,Leading player in sanitaryware with consistent growth; strong brand; and efficient management.
CHOLAFIN,4,4,4,Well-managed NBFC with a strong presence in vehicle and SME financing.
CIPLA,4,5,4.5,Trusted pharma company with strong domestic and international presence; well-diversified.
CLEAN,3,4,3.5,Renewable energy player with solid potential but limited execution history.
COALINDIA,3,3,3,Dominant coal producer but faces ESG concerns and regulatory headwinds.
COFFEEDAY,2,3,2.5,Struggles with governance and financial issues despite a strong brand legacy.
COLPAL,5,5,5,Market leader in oral care with exceptional brand loyalty and efficient capital allocation.
CROMPTON,4,4,4,Well-established player in consumer electricals with consistent performance.
CUB,4,4,4,Regionally strong private bank with stable growth and asset quality.
DABUR,5,5,5,Leader in FMCG with a strong focus on ayurveda-based products and consistent performance.
DCBBANK,3,4,3.5,Niche private bank with strong asset quality but limited scalability.
DEEPAKNTR,4,5,4.5,Leading specialty chemical manufacturer with strong execution and high-growth potential.
DEN,2,3,2.5,Struggles with profitability and scalability in a highly competitive cable TV business.
DIVISLAB,5,5,5,Global leader in APIs with strong R&D focus and ethical management.
DIXON,4,5,4.5,Leading contract manufacturer in India with robust growth and operational efficiency.
DLF,3,3,3,Real estate major with cyclical business and governance challenges in the past.
DMART,5,5,5,Industry leader in retail with cost-efficient operations and excellent execution.
DREAMFOLKS,3,4,3.5,Emerging leader in lounge access services; scalability and execution risks remain.
DRREDDY,5,4,4.5,Trusted pharma brand with strong global presence but faces price erosion in key markets.
EASEMYTRIP,3,4,3.5,Asset-light online travel agency with scalability potential but limited competitive moat.
EICHERMOT,5,5,5,Dominant player in premium motorcycles with strong brand and consistent growth.
EMAMILTD,4,4,4,FMCG player with niche ayurvedic products but faces intense competition in personal care.
EQUITASBNK,4,3,3.5,Well-managed small finance bank with a focus on financial inclusion but limited scalability.
ERIS,4,4,4,Focused on branded formulations with strong market presence in chronic therapies.
EXIDEIND,4,3,3.5,Leading battery manufacturer but facing competition from new-age energy storage solutions.
FEDERALBNK,4,4,4,Regionally strong private bank with improving asset quality and operational efficiency.
FINCABLES,4,4,4,Trusted cable manufacturer with steady growth and strong balance sheet.
FINEORG,5,5,5,Leader in niche oleochemical products with strong export presence and consistent growth.
FOSECOIND,4,4,4,Specialty chemical company with strong market position but limited scalability.
GAIL,3,3,3,Largest natural gas company in India; government ownership limits operational flexibility.
GEOJITFSL,3,3,3,Regional player in financial services with limited competitive advantage.
GICRE,3,3,3,State-owned reinsurer with pricing challenges and lack of operational agility.
GILLETTE,5,4,4.5,Premium brand with strong customer loyalty but limited growth in price-sensitive markets.
GLAND,4,4,4,Focused on injectables with strong global presence but faces execution challenges.
GLAXO,5,4,4.5,Strong brand and diversified pharma portfolio but slower growth compared to peers.
GODREJCP,4,4,4,Trusted FMCG player with strong presence in home and personal care but faces tough competition.
GODREJIND,3,4,3.5,Conglomerate with diversified businesses but lacks strong competitive advantages.
GRASIM,5,4,4.5,Well-managed conglomerate with leadership in cement and entry into paints.
GREENPANEL,4,4,4,Leader in MDF with strong operational efficiency but cyclical demand risks.
GULFOILLUB,3,3,3,Niche lubricant manufacturer but faces challenges from EV adoption and market share erosion.
HAPPSTMNDS,4,4,4,Emerging IT services company with a focus on digital transformation and strong growth.
HATHWAY,3,3,3,Cable and broadband player struggling with intense competition and pricing pressures.
HAVELLS,5,5,5,Industry leader in electrical consumer goods with consistent growth and strong brand equity.
HCLTECH,5,4,4.5,Leading IT services company with robust global presence and diversified offerings.
HDFCAMC,5,5,5,Market leader in asset management with strong distribution network and consistent profitability.
HDFCBANK,5,5,5,Best-in-class private bank with robust growth; excellent governance; and strong asset quality.
HDFCLIFE,5,4,4.5,Leading life insurer with innovative product offerings and strong distribution capabilities.
HEROMOTOCO,4,4,4,Market leader in two-wheelers but faces growth headwinds in the EV transition.
HSCL,3,3,3,Construction-focused PSU with cyclical business and limited scalability.
HINDALCO,4,4,4,Leading aluminum and copper producer with strong operational performance and global footprint.
HINDPETRO,3,3,3,PSU with limited pricing power due to government regulations and volatile margins.
HINDUNILVR,5,5,5,FMCG leader with strong brand portfolio; consistent growth; and ethical management.
HONAUT,5,4,4.5,Trusted automation and safety solution provider with niche market leadership.
IBREALEST,3,3,3,Real estate player with cyclical business and governance concerns in the past.
ICICIBANK,5,5,5,Best-in-class private bank with consistent growth; strong digital focus; and asset quality.
ICICIGI,5,4,4.5,Leading general insurer with strong distribution but faces pricing pressures in the industry.
ICICIPRULI,5,4,4.5,Life insurer with innovative products and consistent market share growth.
IEX,4,4,4,Monopoly in power exchange but regulatory risks exist.
IGL,4,4,4,Dominant player in city gas distribution with steady growth and high entry barriers.
INDIANB,3,3,3,PSU bank with improving asset quality but still faces operational challenges.
INDIGO,4,4,4,Market leader in aviation with cost-efficient operations but cyclical industry dynamics.
INDIGOPNTS,5,5,5,Rapidly growing paints company leveraging strong demand in tier-2 and tier-3 markets.
INDUSINDBK,4,4,4,Private bank with improving asset quality and growing retail focus.
INDUSTOWER,3,3,3,Telecom tower company with challenges from industry consolidation.
INFIBEAM,3,3,3,E-commerce and digital payments company with execution risks and limited moat.
INFY,5,5,5,IT services leader with strong global presence; robust management; and consistent growth.
IOC,3,3,3,PSU with pricing power constraints and volatile earnings due to crude price fluctuations.
IRCTC,4,4,4,Monopoly in online rail ticketing but limited diversification in revenue streams.
ISEC,4,4,4,Leading retail-focused brokerage with strong digital platform but faces industry competition.
ITBEES,5,5,5,Diversified ETF tracking the IT index; reflects the strong fundamentals of top IT companies.
ITC,5,4,4.5,Diversified conglomerate with strong FMCG growth and improving capital allocation.
J&KBANK,3,3,3,Regional PSU bank with high geographical concentration and governance issues.
JCHAC,4,4,4,Niche player in air conditioning with a strong brand but limited market share.
JINDALSTEL,4,3,3.5,Leading steel producer but exposed to cyclical demand and debt concerns.
JIOFIN,4,4,4,New financial services arm of Reliance with strong parent backing and scalability potential.
JMFINANCIL,4,3,3.5,Diversified financial services player with limited competitive advantages.
JPPOWER,3,3,3,Struggling power producer with high debt and operational inefficiencies.
JSWHL,3,3,3,Niche holding company with limited direct business opportunities.
JSWSTEEL,4,4,4,Leading steel manufacturer with strong domestic and global presence but cyclical earnings.
JUBLFOOD,4,4,4,Dominant QSR player with strong brand and aggressive expansion but rising input costs.
JYOTHYLAB,4,4,4,Niche FMCG player with a strong regional presence but limited scale compared to peers.
KANSAINER,5,5,5,Leader in decorative paints with strong growth potential and market leadership.
KOTAKBANK,5,5,5,Premier private bank with ethical management; strong growth; and robust asset quality.
LALPATHLAB,5,4,4.5,Diagnostic leader with strong brand recall and expansion potential in organized healthcare.
LAOPALA,4,4,4,Niche glassware manufacturer with steady growth and limited competition.
LICHSGFIN,3,3,3,PSU-backed housing finance company with sluggish growth and high competition.
LICI,4,3,3.5,India's largest insurer with strong market share but governance challenges as a PSU.
LT,5,5,5,Engineering and infrastructure leader with excellent execution and strong global footprint.
LTIM,5,5,5,Leading IT services firm with strong growth and focus on digital transformation.
LUPIN,4,4,4,Strong pharma player but faces margin pressure and regulatory challenges.
LUXIND,4,4,4,Leading innerwear brand with strong distribution and brand recall but competitive industry.
M&M,5,5,5,Diversified automotive and tractor leader with consistent innovation and strong execution.
MANAPPURAM,3,4,3.5,Gold loan-focused NBFC with good growth but regulatory and market risks.
MARICO,5,5,5,FMCG leader with strong brands; consistent growth; and excellent management.
MARUTI,5,5,5,Dominant passenger car manufacturer with strong market share and cost-efficient operations.
MASFIN,4,4,4,Well-managed NBFC with a focus on MSME lending but scalability concerns.
MAXHEALTH,4,4,4,Leading hospital chain with strong brand but faces competitive intensity in organized healthcare.
MCX,4,4,4,Monopoly in commodity exchanges but regulatory and technological risks exist.
MEDANTA,4,4,4,Leading multispecialty hospital with strong expansion potential but capital-intensive model.
METROPOLIS,4,4,4,Trusted diagnostics brand with steady growth but rising competition from organized players.
MOTILALOFS,5,4,4.5,Strong financial services firm with a focus on wealth management and asset management.
MRF,5,4,4.5,Premium tire manufacturer with strong brand equity but faces margin pressure due to costs.
MUTHOOTFIN,4,4,4,Leading gold loan NBFC with consistent growth and risk mitigation; but faces competition.
NAM-INDIA,4,4,4,Established asset management company with consistent AUM growth and digital focus.
NATIONALUM,3,3,3,PSU aluminum producer with cyclical earnings and low pricing power.
NAUKRI,5,5,5,Market leader in online recruitment with strong cash flows and new growth verticals.
NEOGEN,4,4,4,Specialty chemicals company with niche focus but relatively small scale.
NESTLEIND,5,5,5,FMCG giant with strong brand portfolio; consistent growth; and ethical management.
NETWORK18,3,3,3,Media company with fluctuating revenues and limited pricing power in the industry.
NHPC,3,3,3,PSU hydropower company with stable earnings but limited growth potential.
NIACL,3,3,3,General insurance PSU with operational inefficiencies and intense competition.
NMDC,3,3,3,Largest iron ore producer but cyclical business and PSU governance challenges.
NTPC,4,4,4,Leading power producer with stable cash flows but limited growth avenues.
OFSS,5,4,4.5,Oracle's financial services arm with strong product suite and global presence.
ONGC,3,3,3,PSU with exposure to volatile crude prices and limited growth prospects.
PAGEIND,5,5,5,Premium innerwear brand with strong market leadership and excellent financials.
PARAGMILK,3,3,3,Dairy company with limited differentiation and rising competition in the sector.
PEL,4,4,4,Diversified financial and pharma player with execution risks in NBFC business.
PFIZER,5,5,5,Global pharma leader with strong R&D and robust financials in India.
PGHH,5,5,5,Premium FMCG player with consistent margins and strong brand equity.
PIDILITIND,5,5,5,Adhesives leader with a strong moat; innovative products; and consistent performance.
PIIND,5,5,5,Leading agri-chemical player with strong R&D focus and robust export business.
PNB,3,3,3,PSU bank with weak asset quality and governance challenges.
POLYCAB,5,5,5,Market leader in cables and wires with diversification into consumer appliances.
POWERGRID,4,4,4,Dominant player in power transmission with steady growth but PSU inefficiencies.
PRAJIND,4,4,4,Strong focus on biofuels and clean energy solutions with innovative product offerings.
PVRINOX,4,4,4,Leading multiplex operator with strong brand but cyclical business tied to discretionary spending.
QUESS,3,3,3,Staffing and outsourcing firm with execution challenges in a fragmented market.
RADICO,4,4,4,Alcoholic beverage player with strong premiumization strategy and consistent growth.
RAJESHEXPO,3,3,3,Gold trading company with low margins and limited value addition.
RBLBANK,3,3,3,Small private bank with improving metrics but historical governance and asset quality issues.
RELAXO,4,4,4,Affordable footwear leader with consistent growth but rising input cost challenges.
RELIANCE,5,5,5,Diversified conglomerate with leading positions in telecom; retail; and petrochemicals.
