Symbol,XIRR%,ABS%,InPF
5PAISA,81.0,20.0,1
AARTIIND,71.0,48.0,1
AAVAS,23.0,11.0,1
ABSLAMC,47.0,27.0,0
AMBUJACEM,38.0,14.0,0
APEX,-9.0,-3.0,0
ARE&M,85.0,35.0,0
ASIANPAINT,14.0,4.0,1
ASIANTILES,17.0,10.0,1
AVANTIFEED,56.0,29.0,0
AWL,-23.0,-10.0,1
BAJAJFINSV,8.0,8.0,1
BAJAJHIND,431.0,19.0,0
BAJFINANCE,28.0,8.0,1
BANDHANBNK,-10.0,-9.0,1
BANKBARODA,50.0,38.0,1
BANKINDIA,10.0,5.0,1
BATAINDIA,2.0,2.0,1
BAYERCROP,48.0,51.0,1
BERGEPAINT,-16.0,-10.0,1
BIOCON,80.0,24.0,1
BIRLAMONEY,365.0,55.0,0
BOROLTD,1666.0,13.0,1
BRITANNIA,28.0,20.0,1
CAMS,66.0,45.0,1
CASTROLIND,2824.0,30.0,0
CDSL,271.0,73.0,0
CLEAN,7.0,7.0,1
COFFEEDAY,-36.0,-8.0,1
CROMPTON,58.0,33.0,0
CUB,4.0,1.0,0
DABUR,24.0,16.0,1
DEN,5.0,4.0,1
DMART,33.0,13.0,0
EICHERMOT,109.0,11.0,0
EMAMILTD,100.0,51.0,1
FINEORG,11.0,11.0,1
GICRE,199.0,41.0,1
GILLETTE,64.0,27.0,0
GLAND,44.0,20.0,1
GREENPANEL,-34.0,-16.0,1
GULFOILLUB,187.0,17.0,0
HAPPSTMNDS,-19.0,-10.0,1
HATHWAY,24.0,17.0,1
HCLTECH,210.0,13.0,1
HDFCAMC,136.0,56.0,0
HDFCBANK,14.0,9.0,1
HDFCLIFE,79.0,8.0,1
HINDPETRO,1817.0,34.0,0
HINDUNILVR,5.0,2.0,1
HONAUT,97.0,24.0,0
IBHFL,,,0
IBULHSGFIN,1.0,0.0,1
ICICIGI,52.0,38.0,0
ICICIPRULI,78.0,25.0,1
IEX,53.0,38.0,1
INDIGOPNTS,9.0,6.0,1
INDUSINDBK,7.0,7.0,1
INFY,37.0,16.0,1
IRCTC,50.0,20.0,1
J&KBANK,680.0,35.0,0
JIOFIN,139.0,43.0,0
JMFINANCIL,63.0,21.0,1
JPPOWER,459.0,26.0,1
JSWSTEEL,802.0,29.0,0
JUBLFOOD,16.0,12.0,1
JUNIORBEES,71.0,2.0,0
KANSAINER,-32.0,-19.0,1
KOTAKBANK,3.0,2.0,1
LALPATHLAB,40.0,15.0,1
LICI,202.0,39.0,0
LTIM,9.0,6.0,1
LUXIND,4.0,4.0,1
MARICO,33.0,15.0,1
MASFIN,-93.0,-70.0,1
METROPOLIS,58.0,49.0,1
NEOGEN,18.0,9.0,1
NIACL,442.0,100.0,0
NIFTYBEES,37.0,1.0,0
NIPINIFITETF,25.0,9.0,0
NMDC,507.0,41.0,0
PAGEIND,1.0,1.0,1
PIDILITIND,25.0,25.0,1
PNB,238.0,31.0,0
RAJESHEXPO,-48.0,-44.0,1
RBLBANK,18.0,4.0,1
RELAXO,-7.0,-7.0,1
RELETFNM150,118.0,3.0,0
RELIANCE,95.0,15.0,0
REPCOHOME,493.0,4.0,1
ROSSARI,14.0,8.0,1
SAIL,141.0,56.0,0
SBICARD,-10.0,-7.0,1
SBIETFPB,39.0,11.0,1
SBIN,93.0,32.0,0
SFL,-24.0,-8.0,1
SHALBY,82.0,5.0,1
SIS,-7.0,-4.0,1
SONACOMS,31.0,15.0,1
SPORTKING,-68.0,-6.0,0
SRF,18.0,3.0,0
STARHEALTH,-2.0,-1.0,1
SUNTV,53.0,46.0,1
SURYODAY,7.0,2.0,1
SYMPHONY,75.0,30.0,0
TANLA,-5.0,-3.0,1
TASTYBITE,-36.0,-3.0,1
TATACONSUM,51.0,3.0,0
TATAELXSI,-4.0,-3.0,1
TCS,22.0,9.0,0
TEAMLEASE,18.0,15.0,1
TRIDENT,5.0,3.0,1
TTKPRESTIG,34.0,12.0,1
UJJIVANSFB,-5.0,-1.0,1
UTIAMC,75.0,10.0,1
VAIBHAVGBL,-10.0,-8.0,1
VALIANTORG,-18.0,-16.0,1
WHIRLPOOL,34.0,18.0,0
WIPRO,36.0,32.0,1
