Transaction Date,Company Name,Symbol,Exchange,Type,Quantity,Price,Tax/Charges,Brokerage,Remarks
Jan 23 2024,5Paisa Capital,5PAISA,NSE,Sell,148,608.73,95.6,10,Sell Trade
Jan 11 2024,5Paisa Capital,5PAISA,NSE,Sell,150,680.29,108,10,Sell Trade
Oct 17 2023,5Paisa Capital,5PAISA,NSE,Buy,70,459.97,39.97,10,Buy Trade
Jun 12 2023,5Paisa Capital,5PAISA,NSE,Buy,76,375,35.75,10,Buy Trade
Jun 02 2023,5Paisa Capital,5PAISA,NSE,Buy,55,371.75,26.25,10,Buy Trade
May 23 2023,5Paisa Capital,5PAISA,NSE,Buy,97,311.17,37.99,10,Buy Trade
Jun 28 2024,Aavas Financiers,AAVAS,NSE,Buy,4,1849.8,10.61,10,Buy Trade
Jun 27 2024,Aavas Financiers,AAVAS,NSE,Buy,15,1880,35.37,10,Buy Trade
Jun 12 2024,Aavas Financiers,AAVAS,NSE,Sell,37,1908.06,75.25,10,Sell Trade
Jul 19 2023,Aavas Financiers,AAVAS,NSE,Buy,14,1557.95,27.78,10,Buy Trade
Jun 12 2023,Aavas Financiers,AAVAS,NSE,Buy,8,1363.59,14.8,10,Buy Trade
May 25 2023,Aavas Financiers,AAVAS,NSE,Buy,15,1405,26.64,10,Buy Trade
Feb 07 2024,Adani Wilmar,AWL,NSE,Buy,282,355.35,121.18,10,Buy Trade
May 07 2024,Aditya Birla SL AMC,ABSLAMC,NSE,Sell,50,534.02,29.58,10,Sell Trade
Oct 18 2023,Aditya Birla SL AMC,ABSLAMC,NSE,Buy,50,439.34,27.97,10,Buy Trade
Apr 12 2024,Amara Raja Ene & Mob,ARE&M,NSE,Sell,132,879.99,122.65,10,Sell Trade
Jan 25 2024,Amara Raja Ene & Mob,ARE&M,NSE,Sell,100,812,86.35,10,Sell Trade
Nov 07 2023,Amara Raja Ene & Mob,ARE&M,NSE,Buy,160,632.37,121.78,10,Buy Trade
Jun 12 2023,Amara Raja Ene & Mob,ARE&M,NSE,Buy,24,622.07,19.58,10,Buy Trade
May 24 2023,Amara Raja Ene & Mob,ARE&M,NSE,Buy,48,626.83,37.99,10,Buy Trade
Jun 20 2024,Ambuja Cements,AMBUJACEM,NSE,Sell,172,661.35,120.14,10,Sell Trade
Feb 16 2024,Ambuja Cements,AMBUJACEM,NSE,Buy,172,582.2,121.1,10,Buy Trade
Dec 08 2023,Ambuja Cements,AMBUJACEM,NSE,Sell,180,491.65,94.45,10,Sell Trade
Jun 12 2023,Ambuja Cements,AMBUJACEM,NSE,Buy,60,454.35,34.27,10,Buy Trade
May 09 2023,Ambuja Cements,AMBUJACEM,NSE,Buy,120,408.85,60.15,10,Buy Trade
Jun 18 2024,Asian Granito India,ASIANTILES,NSE,Buy,194,79.22,20.1,10,Buy Trade
Oct 18 2023,Asian Granito India,ASIANTILES,NSE,Buy,250,77.6,25.08,10,Buy Trade
May 02 2024,Asian Paints Ltd.,ASIANPAINT,NSE,Buy,34,2969.72,121.99,10,Buy Trade
Oct 27 2023,Asian Paints Ltd.,ASIANPAINT,NSE,Buy,34,2953.4,120.94,10,Buy Trade
Jul 18 2023,Asian Paints Ltd.,ASIANPAINT,NSE,Sell,25,3511.92,95.02,20,Sell Trade
Jun 12 2023,Asian Paints Ltd.,ASIANPAINT,NSE,Buy,8,3182.8,32.13,10,Buy Trade
May 22 2023,Asian Paints Ltd.,ASIANPAINT,NSE,Sell,16,3080.74,53.04,10,Sell Trade
May 09 2023,Asian Paints Ltd.,ASIANPAINT,NSE,Buy,16,3057.7,60,10,Buy Trade
May 02 2023,Asian Paints Ltd.,ASIANPAINT,NSE,Buy,7,2897.95,25.93,10,Buy Trade
Apr 19 2023,Asian Paints Ltd.,ASIANPAINT,NSE,Buy,10,2827.88,35.44,10,Buy Trade
Apr 12 2024,Avenue Supermarts,DMART,NSE,Sell,14,4777,71.38,10,Sell Trade
Jul 19 2023,Avenue Supermarts,DMART,NSE,Buy,7,3708.03,32.72,10,Buy Trade
Jul 18 2023,Avenue Supermarts,DMART,NSE,Sell,14,3688,55.56,10,Sell Trade
Jun 12 2023,Avenue Supermarts,DMART,NSE,Buy,7,3610.9,31.91,10,Buy Trade
May 17 2023,Avenue Supermarts,DMART,NSE,Sell,14,3434,51.44,10,Sell Trade
May 09 2023,Avenue Supermarts,DMART,NSE,Buy,13,3715,59.24,10,Buy Trade
May 04 2023,Avenue Supermarts,DMART,NSE,Buy,6,3538,27.05,10,Buy Trade
Apr 19 2023,Avenue Supermarts,DMART,NSE,Buy,9,3476.95,39.02,10,Buy Trade
Dec 01 2023,Bajaj Finance L,BAJFINANCE,NSE,Buy,23,7148.1,197.63,10,Buy Trade
Jul 07 2023,Bajaj Finance L,BAJFINANCE,NSE,Sell,24,7725.46,194.87,10,Sell Trade
Jun 12 2023,Bajaj Finance L,BAJFINANCE,NSE,Buy,8,7076,69.24,10,Buy Trade
May 09 2023,Bajaj Finance L,BAJFINANCE,NSE,Buy,8,6686.05,65.38,10,Buy Trade
May 02 2023,Bajaj Finance L,BAJFINANCE,NSE,Buy,3,6237,24.43,10,Buy Trade
Apr 19 2023,Bajaj Finance L,BAJFINANCE,NSE,Buy,5,5928.85,37.07,10,Buy Trade
Jun 12 2023,Bajaj Finserv,BAJAJFINSV,NSE,Buy,17,1466.7,31.5,10,Buy Trade
May 29 2023,Bajaj Finserv,BAJAJFINSV,NSE,Buy,35,1449.21,62.6,10,Buy Trade
Feb 05 2024,Bajaj HindusthanSuga,BAJAJHIND,NSE,Sell,3566,34.65,130.46,10,Sell Trade
Dec 27 2023,Bajaj HindusthanSuga,BAJAJHIND,NSE,Buy,3566,28.05,120.87,10,Buy Trade
Oct 06 2023,Bajaj HindusthanSuga,BAJAJHIND,NSE,Sell,1200,25.75,33.8,10,Sell Trade
Sep 01 2023,Bajaj HindusthanSuga,BAJAJHIND,NSE,Buy,1200,25.05,36.68,10,Buy Trade
Aug 25 2023,Bajaj HindusthanSuga,BAJAJHIND,NSE,Sell,1750,24.65,46.52,10,Sell Trade
Jul 18 2023,Bajaj HindusthanSuga,BAJAJHIND,NSE,Buy,1750,17.15,37.42,10,Buy Trade
Jul 19 2023,Bandhan Bank,BANDHANBNK,NSE,Buy,100,216.15,27.54,10,Buy Trade
Jun 12 2023,Bandhan Bank,BANDHANBNK,NSE,Buy,100,256.02,32.29,10,Buy Trade
Jun 02 2023,Bandhan Bank,BANDHANBNK,NSE,Buy,75,269.9,25.88,10,Buy Trade
May 22 2023,Bandhan Bank,BANDHANBNK,NSE,Buy,125,242.8,37.89,10,Buy Trade
Oct 18 2023,Bank of Baroda,BANKBARODA,NSE,Buy,125,204.05,32.19,10,Buy Trade
Jan 01 2024,Bank of India,BANKINDIA,NSE,Buy,888,112.9,120.89,10,Buy Trade
Oct 17 2023,Bata India,BATAINDIA,NSE,Buy,13,1626.95,26.99,10,Buy Trade
Aug 18 2023,Bata India,BATAINDIA,NSE,Sell,30,1722.06,55.6,10,Sell Trade
Jun 12 2023,Bata India,BATAINDIA,NSE,Buy,33,1568.5,63.46,10,Buy Trade
May 09 2023,Bata India,BATAINDIA,NSE,Buy,33,1507.3,60.97,10,Buy Trade
May 04 2023,Bata India,BATAINDIA,NSE,Buy,20,1504.63,37.91,10,Buy Trade
Apr 24 2023,Bata India,BATAINDIA,NSE,Buy,14,1483.4,26.64,10,Buy Trade
Jul 19 2023,BayerCropscience,BAYERCROP,NSE,Buy,5,4701.48,29.81,10,Buy Trade
Jun 12 2023,BayerCropscience,BAYERCROP,NSE,Buy,4,4290.66,22.24,10,Buy Trade
May 29 2023,BayerCropscience,BAYERCROP,NSE,Buy,7,4125,36.15,10,Buy Trade
May 27 2024,Berger Paints I,BERGEPAINT,NSE,Buy,86,484.05,51.35,10,Buy Trade
Sep 22 2023,Berger Paints I,BERGEPAINT,NSE,Buy,14,0,0,0,Bonus - 5:1
Aug 09 2023,Berger Paints I,BERGEPAINT,NSE,Buy,72,697.61,61.88,10,Buy Trade
Jun 20 2024,Borosil L,BOROLTD,NSE,Buy,230,343.75,95.91,10,Buy Trade
Dec 26 2023,Castrol India,CASTROLIND,NSE,Sell,715,182.22,137.43,10,Sell Trade
Nov 28 2023,Castrol India,CASTROLIND,NSE,Buy,715,140.65,121.63,10,Buy Trade
Dec 15 2023,Central Depository,CDSL,NSE,Sell,70,1932.28,142.91,10,Sell Trade
Jul 19 2023,Central Depository,CDSL,NSE,Buy,21,1211.06,32.09,10,Buy Trade
Jun 15 2023,Central Depository,CDSL,NSE,Buy,49,1027.05,61.73,10,Buy Trade
Jul 17 2023,Clean Science & Tech,CLEAN,NSE,Buy,16,1319.99,26.73,10,Buy Trade
Jun 12 2023,Clean Science & Tech,CLEAN,NSE,Buy,8,1357,14.73,10,Buy Trade
Jun 05 2023,Clean Science & Tech,CLEAN,NSE,Buy,15,1417.55,26.64,10,Buy Trade
Oct 19 2023,Computer Age Mgt,CAMS,NSE,Buy,12,2531.47,37.87,10,Buy Trade
Jul 07 2023,Computer Age Mgt,CAMS,NSE,Buy,13,2324.83,37.77,10,Buy Trade
Nov 15 2023,Eicher Motors,EICHERMOT,NSE,Sell,15,3837.8,62.17,10,Sell Trade
Jul 12 2023,Eicher Motors,EICHERMOT,NSE,Buy,15,3260.2,60.29,10,Buy Trade
May 29 2023,Eicher Motors,EICHERMOT,NSE,Sell,15,3692.04,59.37,10,Sell Trade
May 22 2023,Eicher Motors,EICHERMOT,NSE,Sell,15,3541.3,56.95,10,Sell Trade
May 09 2023,Eicher Motors,EICHERMOT,NSE,Buy,15,3396.72,62.4,10,Buy Trade
May 03 2023,Eicher Motors,EICHERMOT,NSE,Buy,9,3348,38.17,10,Buy Trade
Apr 24 2023,Eicher Motors,EICHERMOT,NSE,Buy,6,3167.25,24.27,10,Buy Trade
May 27 2024,Emami,EMAMILTD,NSE,Buy,95,526.4,61.33,10,Buy Trade
Jun 22 2023,Emami,EMAMILTD,NSE,Buy,72,422.52,38.03,10,Buy Trade
Jun 12 2023,Fine Organic Indus,FINEORG,NSE,Buy,4,5060.5,25.92,10,Buy Trade
May 29 2023,Fine Organic Indus,FINEORG,NSE,Buy,7,4489.96,39.18,10,Buy Trade
May 02 2024,General Ins. Corp.,GICRE,NSE,Buy,190,342.83,79.34,10,Buy Trade
Apr 15 2024,General Ins. Corp.,GICRE,NSE,Buy,194,328.97,77.77,10,Buy Trade
Jan 23 2024,General Ins. Corp.,GICRE,NSE,Sell,231,346.45,85.13,10,Sell Trade
Jun 12 2023,General Ins. Corp.,GICRE,NSE,Buy,56,181.45,13.9,10,Buy Trade
May 22 2023,General Ins. Corp.,GICRE,NSE,Buy,175,171.85,37.56,10,Buy Trade
Dec 14 2023,Gillette India,GILLETTE,NSE,Sell,26,6118.66,167.37,10,Sell Trade
Oct 17 2023,Gillette India,GILLETTE,NSE,Buy,5,6266.68,39.13,10,Buy Trade
Jun 12 2023,Gillette India,GILLETTE,NSE,Buy,7,4468.61,39.06,10,Buy Trade
May 09 2023,Gillette India,GILLETTE,NSE,Buy,7,4605.95,40.16,10,Buy Trade
Apr 26 2023,Gillette India,GILLETTE,NSE,Buy,7,4353,38.01,10,Buy Trade
Sep 04 2023,Gland Pharma,GLAND,NSE,Buy,17,1716.89,36,10,Buy Trade
Sep 01 2023,Gland Pharma,GLAND,NSE,Sell,38,1728.94,70.54,10,Sell Trade
Sep 01 2023,Gland Pharma,GLAND,NSE,Sell,17,1729.51,8.6,0,Sell Trade
Sep 01 2023,Gland Pharma,GLAND,NSE,Buy,17,1765,3.94,10,Buy Trade
Jun 12 2023,Gland Pharma,GLAND,NSE,Buy,18,960.9,22.4,10,Buy Trade
May 16 2023,Gland Pharma,GLAND,NSE,Buy,37,1354.78,61.43,10,Buy Trade
Jan 17 2024,Gulf Oil Lubricants,GULFOILLUB,NSE,Sell,190,747.01,149.58,10,Sell Trade
Nov 23 2023,Gulf Oil Lubricants,GULFOILLUB,NSE,Buy,190,637.38,145.78,10,Buy Trade
Jan 12 2024,Happiest Minds Tech,HAPPSTMNDS,NSE,Buy,105,919.8,117.1,10,Buy Trade
May 27 2024,HCL Technologies,HCLTECH,NSE,Buy,75,1349,122.24,10,Buy Trade
Jan 08 2024,HDFC AMC,HDFCAMC,NSE,Sell,61,3348.18,214.24,10,Sell Trade
Oct 17 2023,HDFC AMC,HDFCAMC,NSE,Buy,11,2900.78,39.82,10,Buy Trade
Jul 19 2023,HDFC AMC,HDFCAMC,NSE,Buy,9,2402.95,27.56,10,Buy Trade
Jun 12 2023,HDFC AMC,HDFCAMC,NSE,Buy,14,1925.2,33.91,10,Buy Trade
May 09 2023,HDFC AMC,HDFCAMC,NSE,Buy,27,1856.05,61.41,10,Buy Trade
Jan 17 2024,HDFC Bank,HDFCBANK,NSE,Buy,64,1561.04,120.82,10,Buy Trade
Oct 23 2023,HDFC Bank,HDFCBANK,NSE,Buy,66,1522.56,121.5,10,Buy Trade
Aug 18 2023,HDFC Bank,HDFCBANK,NSE,Buy,30,1593.1,58.26,10,Buy Trade
Jul 19 2023,HDFC Bank,HDFCBANK,NSE,Buy,30,1683.55,61.51,10,Buy Trade
May 16 2023,HDFC Bank,HDFCBANK,NSE,Sell,30,1658.55,53.52,10,Sell Trade
May 02 2023,HDFC Bank,HDFCBANK,NSE,Buy,12,1683.85,25.83,10,Buy Trade
Apr 26 2023,HDFC Bank,HDFCBANK,NSE,Buy,18,1665.5,37.46,10,Buy Trade
Jun 06 2024,HDFC Life Insurance,HDFCLIFE,NSE,Buy,63,555.74,43.47,10,Buy Trade
Dec 28 2023,Hind. Petrol,HINDPETRO,NSE,Sell,400,408.6,171.52,10,Sell Trade
Nov 22 2023,Hind. Petrol,HINDPETRO,NSE,Buy,400,305.35,146.84,10,Buy Trade
May 27 2024,Hindustan Unilever L,HINDUNILVR,NSE,Buy,31,2377.15,89.51,10,Buy Trade
Apr 12 2024,Honeywell Automation,HONAUT,NSE,Sell,3,44150,139.6,10,Sell Trade
Dec 20 2023,Honeywell Automation,HONAUT,NSE,Buy,3,35720.72,129.23,10,Buy Trade
Feb 07 2024,IBHFL RE,IBHFL,NSE,Sell,150,39.6,5.02,10,Sell Trade
Feb 02 2024,IBHFL RE,IBHFL,NSE,Buy,150,0,0,0,OffMarket-In
Apr 03 2024,ICICI Lombard Gen.,ICICIGI,NSE,Sell,56,1701.06,100.9,10,Sell Trade
Jan 25 2024,ICICI Lombard Gen.,ICICIGI,NSE,Sell,28,1481.4,44.99,10,Sell Trade
Jul 19 2023,ICICI Lombard Gen.,ICICIGI,NSE,Buy,15,1360.55,26.11,10,Buy Trade
Jun 12 2023,ICICI Lombard Gen.,ICICIGI,NSE,Buy,23,1201.05,34.7,10,Buy Trade
May 17 2023,ICICI Lombard Gen.,ICICIGI,NSE,Buy,46,1106.17,62.69,10,Buy Trade
Feb 16 2024,ICICI Pru Life,ICICIPRULI,NSE,Buy,198,508.04,121.63,10,Buy Trade
Nov 12 2023,Indiabulls Housing F,IBULHSGFIN,NSE,Buy,300,170.35,62.9,10,Buy Trade
Jan 17 2024,Indian Energy Exchan,IEX,NSE,Buy,275,147.85,50.22,10,Buy Trade
Aug 07 2023,Indian Energy Exchan,IEX,NSE,Buy,394,127.3,61.87,10,Buy Trade
