symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,587.95,4865964,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,587.95,4865963,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,10,587.9,4865962,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,6,587.85,4865961,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,587.85,4865959,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,587.85,4865958,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,8,587.7,4865957,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,4,587.85,4865960,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,588.35,4865991,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,9,588.35,4865990,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,588.35,4865989,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,11,588.3,4865988,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,588.3,4865987,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,5,588.3,4865986,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,588.3,4865985,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,5,588.3,4865984,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,588.3,4865983,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,588.3,4865982,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,5,588.3,4865981,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,6,588.25,4865980,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,588.25,4865979,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,588.25,4865978,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,36,588.2,4865977,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,588.15,4865976,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,5,588.05,4865975,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,588.05,4865974,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,588.05,4865973,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,17,588.05,4865972,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,588.05,4865971,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,588.05,4865970,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,588.05,4865969,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,588,4865968,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,18,588,4865967,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,6,587.95,4865966,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,19-02-2024,NSE,EQ,EQ,buy,FALSE,1,587.95,4865965,1.00E+15,2024-02-19T13:27:19
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,50,539.8,230139,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,38,539.65,230137,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,1,539.95,230152,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,19,540,230157,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,2,539.95,230153,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,1,539.95,230154,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,1,539.95,230155,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,1,539.95,230156,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,11,539.7,230138,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,2,539.95,230151,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,1,539.95,230150,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,2,539.95,230149,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,1,539.95,230148,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,2,539.95,230147,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,6,539.95,230146,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,1,539.95,230145,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,2,539.95,230144,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,1,539.95,230143,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,5,539.9,230142,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,5,539.85,230141,1.00E+15,2024-05-18T09:25:11
5PAISA,INE618L01018,18-05-2024,NSE,EQ,EQ,buy,FALSE,8,539.8,230140,1.00E+15,2024-05-18T09:25:11
AARTIIND,INE769A01020,12-10-2023,NSE,EQ,EQ,buy,FALSE,125,486.2,3488648,1.00E+15,2023-10-12T14:13:26
AARTIIND,INE769A01020,17-10-2023,BSE,EQ,A,buy,FALSE,42,489.55,4270100,1.70E+18,2023-10-17T15:05:40
AAVAS,INE216P01012,11-09-2023,NSE,EQ,EQ,buy,FALSE,11,1684.6,1646449,1.00E+15,2023-09-11T10:16:22
AAVAS,INE216P01012,11-09-2023,NSE,EQ,EQ,buy,FALSE,5,1684.65,1646452,1.00E+15,2023-09-11T10:16:22
AAVAS,INE216P01012,11-09-2023,NSE,EQ,EQ,buy,FALSE,1,1684.6,1646451,1.00E+15,2023-09-11T10:16:22
AAVAS,INE216P01012,11-09-2023,NSE,EQ,EQ,buy,FALSE,1,1684.6,1646450,1.00E+15,2023-09-11T10:16:22
AAVAS,INE216P01012,17-10-2023,BSE,EQ,A,buy,FALSE,10,1642,2447100,1.70E+18,2023-10-17T15:17:59
AAVAS,INE216P01012,17-10-2023,BSE,EQ,A,buy,FALSE,7,1642.7,2447500,1.70E+18,2023-10-17T15:17:59
AAVAS,INE216P01012,17-10-2023,BSE,EQ,A,buy,FALSE,1,1642.35,2447300,1.70E+18,2023-10-17T15:17:59
AAVAS,INE216P01012,12-06-2024,BSE,EQ,A,sell,FALSE,2,1906.05,6639400,1.72E+18,2024-06-12T15:22:41
AAVAS,INE216P01012,12-06-2024,BSE,EQ,A,sell,FALSE,2,1906.2,6638800,1.72E+18,2024-06-12T15:22:41
AAVAS,INE216P01012,12-06-2024,BSE,EQ,A,sell,FALSE,8,1906.1,6639100,1.72E+18,2024-06-12T15:22:41
AAVAS,INE216P01012,12-06-2024,BSE,EQ,A,sell,FALSE,22,1905.55,6639800,1.72E+18,2024-06-12T15:22:41
